id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type,date
vj161703954517,vj,Vietjet,VJ155,2026-04-23 19:20:00,2026-04-23 21:30:00,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-23
vj16170413493,vj,Vietjet,VJ454,2026-04-23 12:25:00,2026-04-23 14:25:00,309000,651900,960900,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Eco,2026-04-23
qh16170415290,qh,Bamboo Airways,QH1421,2026-04-23 05:55:00,2026-04-23 07:45:00,1200000,742000,1942000,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Eco Smart,2026-04-23
qh16170439092,qh,Bamboo Airways,QH1626,2026-04-24 17:55:00,2026-04-24 20:00:00,5300000,1152000,6452000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Buz Flex,2026-04-24
vna16170428513,vna,Vietnam Airlines,VN1346,2026-04-24 12:35:00,2026-04-24 13:50:00,99000,660000,759000,TP HCM,Tân Sơn Nhất (SGN),Nha Trang,Cam Ranh (CXR),Economy (EL)-A,2026-04-24
vj16170438802,vj,Vietjet,VJ1452,2026-04-24 10:45:00,2026-04-24 12:50:00,309000,651900,960900,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Eco,2026-04-24
vj161704644510,vj,Vietjet,VJ450,2026-04-25 20:05:00,2026-04-25 22:05:00,309000,651900,960900,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Eco,2026-04-25
vta16170445201,vta,Vietravel Airlines,VU 757,2026-04-25 09:25:00,2026-04-25 12:00:00,290000,660000,950000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Aregow (A) - Vé không hoàn,2026-04-25
vna16170447730,vna,Vietnam Airlines,VN1181,2026-04-25 10:00:00,2026-04-25 12:15:00,109000,651000,760000,Hải Phòng,Cát Bi (HPH),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-A,2026-04-25
vj16170489589,vj,Vietjet,VJ450,2026-04-26 20:05:00,2026-04-26 22:05:00,309000,651900,960900,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Eco,2026-04-26
vna16170479220,vna,Vietnam Airlines,VN7388,2026-04-26 05:55:00,2026-04-26 07:00:00,69000,657000,726000,TP HCM,Tân Sơn Nhất (SGN),Đà Lạt,Liên Khương (DLI),Economy (EL)-A,2026-04-26
vna16170489291,vna,Vietnam Airlines,VN1232,2026-04-26 13:25:00,2026-04-26 15:40:00,3009000,921000,3930000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Economy (EF)-S,2026-04-26
